date,homeTeam,awayTeam,homeScore,awayScore,homePitcher,awayPitcher,homeLine,awayLine
09/11/05,SF,CHC,2.0,3.0,Brett Tomko,Glendon Rusch,-120.0,112.0
09/10/05,SF,CHC,2.0,5.0,Brad Hennessey,Mark Prior,133.0,-143.0
09/09/05,SF,CHC,2.0,1.0,Matt Cain,Jerome Williams,-117.0,109.0
09/08/05,SF,CHC,3.0,5.0,Noah Lowry,Carlos Zambrano,100.0,-107.0
09/07/05,LAD,SF,9.0,8.0,Jeff Weaver,Jason Schmidt,109.0,-117.0
09/06/05,LAD,SF,4.0,2.0,Brad Penny,Brett Tomko,-157.0,146.0
09/05/05,LAD,SF,1.0,3.0,Derek Lowe,Brad Hennessey,-150.0,139.0
08/28/05,SF,NYM,4.0,1.0,Noah Lowry,Kris Benson,-113.0,105.0
08/27/05,SF,NYM,2.0,1.0,Jason Schmidt,Tom Glavine,-120.0,112.0
08/26/05,SF,NYM,0.0,1.0,Kevin Correia,Steve Trachsel,109.0,-117.0
08/24/05,SF,PHI,4.0,7.0,Brad Hennessey,Cory Lidle,109.0,-117.0
08/23/05,SF,PHI,2.0,10.0,Brett Tomko,Vicente Padilla,120.0,-130.0
08/22/05,SF,PHI,5.0,0.0,Noah Lowry,Jon Lieber,103.0,-110.0
08/14/05,MIA,SF,4.0,1.0,A.J. Burnett,Brad Hennessey,-240,220.0
08/13/05,MIA,SF,2.0,1.0,Josh Beckett,Brett Tomko,-240,220.0
08/12/05,MIA,SF,0.0,1.0,Dontrelle Willis,Noah Lowry,-220,204.0
07/31/05,MIL,SF,5.0,1.0,Chris Capuano,Noah Lowry,-137.0,127.0
07/30/05,MIL,SF,7.0,1.0,Ben Sheets,Jason Schmidt,-133.0,123.0
07/29/05,MIL,SF,6.0,7.0,Doug Davis,Kirk Rueter,-167.0,155.0
07/28/05,MIL,SF,0.0,3.0,Victor Santos,Brad Hennessey,-140.0,130.0
07/27/05,CHC,SF,4.0,3.0,Carlos Zambrano,Brett Tomko,-230.0,212.0
07/26/05,CHC,SF,2.0,3.0,Greg Maddux,Noah Lowry,-147.0,137.0
07/25/05,CHC,SF,3.0,2.0,Rich Hill,Jason Schmidt,120.0,-130.0
07/24/05,SF,MIA,1.0,4.0,Kevin Correia,A.J. Burnett,155.0,-167
07/23/05,SF,MIA,4.0,16.0,Brad Hennessey,Josh Beckett,137.0,-147
07/22/05,SF,MIA,8.0,5.0,Brett Tomko,Dontrelle Willis,127.0,-137
07/17/05,LAD,SF,1.0,4.0,Jeff Weaver,Brad Hennessey,-147.0,137.0
07/16/05,LAD,SF,5.0,4.0,Odalis Perez,Brett Tomko,-143.0,133.0
07/15/05,LAD,SF,0.0,6.0,Derek Lowe,Noah Lowry,-150.0,139.0
07/14/05,LAD,SF,3.0,4.0,Brad Penny,Jason Schmidt,-120.0,112.0
06/09/05,SF,KC,9.0,7.0,Noah Lowry,Jose Lima,-167.0,155.0
06/08/05,SF,KC,1.0,4.0,Jeff Fassero,Runelvys Hernandez,-130.0,120.0
06/07/05,SF,KC,1.0,8.0,Kirk Rueter,D.J. Carrasco,-143.0,133.0
06/05/05,NYM,SF,12.0,1.0,Kris Benson,Jason Schmidt,-140.0,130.0
06/05/05,NYM,SF,3.0,6.0,Kazuhisa Ishii,Brett Tomko,-130.0,120.0
06/04/05,NYM,SF,5.0,1.0,Tom Glavine,Noah Lowry,-153.0,142.0
06/02/05,PHI,SF,6.0,5.0,Jon Lieber,Brad Hennessey,-185.0,172.0
06/01/05,PHI,SF,10.0,6.0,Cory Lidle,Kirk Rueter,-180.0,167.0
05/31/05,PHI,SF,5.0,2.0,Randy Wolf,Brett Tomko,-150.0,139.0
05/26/05,SF,LAD,4.0,6.0,Kirk Rueter,Brad Penny,112.0,-120.0
05/25/05,SF,LAD,10.0,2.0,Brett Tomko,Wilson Alvarez,-113.0,105.0
05/24/05,SF,LAD,5.0,3.0,Jason Schmidt,Jeff Weaver,-127.0,118.0
05/11/05,SF,PIT,2.0,7.0,Noah Lowry,Josh Fogg,-117.0,109.0
05/10/05,SF,PIT,2.0,5.0,Jeff Fassero,Dave Williams,-113.0,105.0
05/09/05,SF,PIT,2.0,1.0,Brett Tomko,Mark Redman,-123.0,114.0
05/08/05,SF,WAS,4.0,3.0,Kirk Rueter,Esteban Loaiza,-103.0,-104.0
05/07/05,SF,WAS,8.0,11.0,Jason Schmidt,John Patterson,-143.0,133.0
05/06/05,SF,WAS,3.0,9.0,Noah Lowry,Tomo Ohka,-123.0,114.0
05/01/05,PIT,SF,3.0,8.0,Oliver Perez,Brad Hennessey,-143.0,133.0
04/30/05,PIT,SF,6.0,7.0,Dave Williams,Noah Lowry,-104.0,-103.0
04/29/05,PIT,SF,2.0,3.0,Mark Redman,Brett Tomko,-117.0,109.0
04/24/05,SF,MIL,5.0,8.0,Jerome Williams,Gary Glover,-153.0,142.0
04/23/05,SF,MIL,6.0,2.0,Brett Tomko,Chris Capuano,-120.0,112.0
04/22/05,SF,MIL,1.0,6.0,Kirk Rueter,Victor Santos,-127.0,118.0
04/13/05,LAD,SF,4.0,1.0,Odalis Perez,Brett Tomko,-147.0,137.0
04/12/05,LAD,SF,9.0,8.0,Jeff Weaver,Kirk Rueter,-153.0,142.0
04/07/05,SF,LAD,0.0,6.0,Brett Tomko,Jeff Weaver,-117.0,109.0
04/06/05,SF,LAD,4.0,10.0,Kirk Rueter,Odalis Perez,-117.0,109.0
04/05/05,SF,LAD,4.0,2.0,Jason Schmidt,Derek Lowe,-163.0,151.0
09/15/05,TB,NYY,5.0,9.0,Seth McClung,Aaron Small,162.0,-175.0
09/14/05,TB,NYY,5.0,6.0,Mark Hendrickson,Chien-Ming Wang,155.0,-167.0
09/13/05,TB,NYY,3.0,17.0,Doug Waechter,Jaret Wright,155.0,-167.0
09/08/05,NYY,TB,4.0,7.0,Chien-Ming Wang,Mark Hendrickson,-220.0,204.0
09/07/05,NYY,TB,5.0,4.0,Jaret Wright,Doug Waechter,-240.0,220.0
09/06/05,NYY,TB,3.0,4.0,Randy Johnson,Casey Fossum,-340.0,310.0
08/17/05,TB,NYY,7.0,6.0,Mark Hendrickson,Al Leiter,155.0,-167.0
08/16/05,TB,NYY,4.0,3.0,Doug Waechter,Randy Johnson,230.0,-250.0
08/15/05,TB,NYY,2.0,5.0,Casey Fossum,Jaret Wright,148.0,-160.0
07/31/05,TB,KC,6.0,2.0,Mark Hendrickson,Jose Lima,-117.0,109.0
07/30/05,TB,KC,7.0,3.0,Doug Waechter,Zack Greinke,-127.0,118.0
07/29/05,TB,KC,6.0,3.0,Casey Fossum,D.J. Carrasco,-153.0,142.0
07/28/05,TB,KC,10.0,5.0,Scott Kazmir,Kyle Snyder,-170.0,158.0
07/06/05,CHW,TB,7.0,2.0,Jose Contreras,Casey Fossum,-205.0,190.0
07/05/05,CHW,TB,6.0,4.0,Freddy Garcia,Mark Hendrickson,-270.0,245.0
07/04/05,CHW,TB,10.0,8.0,Brandon McCarthy,Hideo Nomo,-210.0,195.0
06/26/05,TB,MIA,0.0,1.0,Seth McClung,A.J. Burnett,185.0,-200
06/25/05,TB,MIA,2.0,6.0,Casey Fossum,Scott Olsen,-103.0,-104
06/24/05,TB,MIA,4.0,7.0,Doug Waechter,Al Leiter,118.0,-127
06/23/05,NYY,TB,4.0,9.0,Chien-Ming Wang,Mark Hendrickson,-250.0,230.0
06/22/05,NYY,TB,3.0,5.0,Carl Pavano,Scott Kazmir,-240.0,220.0
06/21/05,NYY,TB,20.0,11.0,Randy Johnson,Hideo Nomo,-380.0,340.0
06/20/05,NYY,TB,4.0,5.0,Sean Henn,Casey Fossum,-220.0,204.0
06/15/05,TB,MIL,5.0,3.0,Hideo Nomo,Victor Santos,123.0,-133.0
06/14/05,TB,MIL,0.0,4.0,Casey Fossum,Tomo Ohka,-103.0,-104.0
06/13/05,TB,MIL,5.0,3.0,Doug Waechter,Chris Capuano,114.0,-123.0
06/12/05,PIT,TB,5.0,7.0,Josh Fogg,Mark Hendrickson,-160.0,148.0
06/11/05,PIT,TB,18.0,2.0,Oliver Perez,Scott Kazmir,-150.0,139.0
06/10/05,PIT,TB,7.0,2.0,Mark Redman,Hideo Nomo,-195.0,180.0
06/05/05,SEA,TB,6.0,5.0,Jamie Moyer,Hideo Nomo,-170.0,158.0
06/04/05,SEA,TB,6.0,5.0,Joel Pineiro,Scott Kazmir,-120.0,112.0
06/03/05,SEA,TB,1.0,6.0,Aaron Sele,Casey Fossum,-150.0,139.0
05/29/05,TB,SEA,9.0,10.0,Doug Waechter,Joel Pineiro,103.0,-110.0
05/28/05,TB,SEA,2.0,3.0,Casey Fossum,Aaron Sele,-107.0,100.0
05/27/05,TB,SEA,5.0,4.0,Mark Hendrickson,Gil Meche,100.0,-107.0
05/22/05,MIA,TB,8.0,5.0,Brian Moehler,Casey Fossum,-170,158.0
05/21/05,MIA,TB,4.0,3.0,A.J. Burnett,Mark Hendrickson,-230,212.0
05/20/05,MIA,TB,7.0,6.0,Al Leiter,Hideo Nomo,-185,172.0
05/15/05,KC,TB,4.0,3.0,Zack Greinke,Mark Hendrickson,-133.0,123.0
05/14/05,KC,TB,6.0,5.0,Runelvys Hernandez,Hideo Nomo,-110.0,103.0
05/13/05,KC,TB,2.0,3.0,D.J. Carrasco,Doug Waechter,103.0,-110.0
05/12/05,KC,TB,7.0,5.0,Jose Lima,Scott Kazmir,112.0,-120.0
05/11/05,TB,CHW,2.0,5.0,Dewon Brazelton,Orlando Hernandez,133.0,-143.0
05/10/05,TB,CHW,7.0,6.0,Mark Hendrickson,Jose Contreras,127.0,-137.0
05/09/05,TB,CHW,4.0,2.0,Hideo Nomo,Freddy Garcia,162.0,-175.0
05/05/05,TB,NYY,6.0,2.0,Mark Hendrickson,Chien-Ming Wang,162.0,-175.0
05/04/05,TB,NYY,11.0,8.0,Hideo Nomo,Sean Henn,146.0,-157.0
05/03/05,TB,NYY,11.0,4.0,Doug Waechter,Kevin Brown,162.0,-175.0
