"Name","Team","AB","H","HR","RBI","BB","SO","AVG","OPS","WAR","SB","playerid"
"Charles Johnson","Rockies","305","72","13","47","49","91",".236",".780","1.0","2","523"
"Alfonso Soriano","Rangers","608","170","28","91","33","121",".280",".807","2.2","18","847"
"Brandon Inge","Tigers","408","117","13","64","32","72",".287",".793","1.7","5","470"
"Placido Polanco","Phillies","503","150","17","55","27","39",".298",".786","2.1","7","1176"
"Terrmel Sledge","Expos","398","107","15","62","40","66",".269",".799","1.8","3","1878"
"Jack Wilson","Pirates","652","201","11","59","26","71",".308",".794","4.3","8","1017"
"Eric Young","Rangers","344","99","1","27","43","28",".288",".758","0.2","14","716"
"Coco Crisp","Indians","491","146","15","71","36","69",".297",".790","4.0","20","1572"
"Mike Cameron","Mets","493","114","30","76","57","143",".231",".798","3.8","22","1070"
"Rafael Palmeiro","Orioles","550","142","23","88","86","61",".258",".796","0.2","2","1266"
"Mark Grudzielanek","Cubs","257","79","6","23","15","32",".307",".779","1.0","1","653"
"Rondell White","Tigers","448","121","19","67","39","77",".270",".790","1.3","1","856"
"Ben Grieve","- - -","250","65","8","35","39","70",".260",".785","0.3","0","1209"
"David DeJesus","Royals","363","104","7","39","33","53",".287",".763","0.7","8","1825"
"Damion Easley","Marlins","223","53","9","43","24","36",".238",".788","0.8","4","464"
"Nick Swisher","Athletics","60","15","2","8","8","11",".250",".769","0.0","0","4599"
"David Dellucci","Rangers","331","80","17","61","47","88",".242",".783","1.2","9","1402"
"Orlando Hudson","Blue Jays","489","132","12","58","51","98",".270",".779","3.7","7","1307"
"JD Closser","Rockies","113","36","1","10","6","22",".319",".762","0.2","0","2108"
"Khalil Greene","Padres","484","132","15","65","53","94",".273",".795","3.2","4","1826"
"Jermaine Dye","Athletics","532","141","23","80","49","128",".265",".793","1.8","4","911"
"Gregg Zaun","Blue Jays","338","91","6","36","47","61",".269",".761","1.7","0","580"
"Mike Lieberthal","Phillies","476","129","17","61","37","69",".271",".783","1.5","1","959"
"D'Angelo Jimenez","Reds","563","152","12","67","82","99",".270",".758","3.1","13","1038"
"Michael Cuddyer","Twins","339","89","12","45","37","74",".263",".779","0.8","5","1534"
"Garret Anderson","Angels","442","133","14","75","29","75",".301",".789","0.8","2","2"
"Ryan Freel","Reds","505","140","3","28","67","88",".277",".743","2.6","37","1207"
"Barry Larkin","Reds","346","100","8","44","34","39",".289",".771","1.5","2","335"
"Chone Figgins","Angels","577","171","5","60","49","94",".296",".770","3.5","34","1580"
"Randy Winn","Mariners","626","179","14","81","53","98",".286",".772","3.8","21","1235"
"Ronnie Belliard","Indians","599","169","12","70","60","98",".282",".774","3.1","3","677"
"Geoff Jenkins","Brewers","617","163","27","93","46","152",".264",".798","2.5","3","690"
"Jamey Carroll","Expos","218","63","0","16","32","21",".289",".750","0.9","5","1591"
"Nick Johnson","Expos","251","63","7","33","40","58",".251",".758","0.5","6","828"
"Luis Ayala","Expos","9","3","0","0","0","3",".333",".778","0.1","0","1650"
"Reggie Sanders","Cardinals","446","116","22","67","33","118",".260",".797","2.4","21","1129"
"Jose Offerman","Twins","172","44","2","22","29","31",".256",".759","0.3","1","205"
"Michael Tucker","Giants","464","119","13","62","70","106",".256",".765","1.5","5","635"
"Larry Bigbie","Orioles","478","134","15","68","45","113",".280",".768","1.5","8","128"
"Chris Snyder","Diamondbacks","96","23","5","15","13","25",".240",".786","0.6","0","4606"
"Andy Machado","Reds","56","15","0","4","10","26",".268",".772","0.1","3","1853"
"Carl Crawford","Devil Rays","626","185","11","55","35","81",".296",".781","5.1","59","1201"
"Pedro Feliz","Giants","503","139","22","84","23","85",".276",".790","1.7","5","1112"
"Jeff Conine","Marlins","521","146","14","83","48","78",".280",".772","1.6","5","131"
"Johan Santana","Twins","8","3","0","2","0","1",".375",".750","0.1","0","755"
"Miguel Cairo","Yankees","360","105","6","42","18","49",".292",".763","0.5","11","1412"
"Lou Merloni","Indians","190","55","4","28","14","41",".289",".769","0.1","1","201"
"Edgardo Alfonzo","Giants","519","150","11","77","46","40",".289",".757","1.4","1","859"
"Damon Minor","Giants","58","14","0","6","12","18",".241",".681","0.1","0","1411"
"Ray Lankford","Cardinals","200","51","6","22","29","55",".255",".774","0.6","2","1044"
"Alberto T. Castillo","Royals","89","24","1","11","14","10",".270",".736","0.4","0","812"
"Danny Garcia","Mets","138","32","3","17","22","34",".232",".733","0.7","3","1819"
"Paul Lo Duca","- - -","535","153","13","80","36","49",".286",".758","2.2","4","662"
"Ken Harvey","Royals","456","131","13","55","28","89",".287",".759","-0.9","1","604"
"Jason LaRue","Reds","390","98","14","55","26","108",".251",".765","1.7","0","337"
"Rafael Furcal","Braves","563","157","14","59","58","71",".279",".758","2.8","29","88"
"Jon Rauch","- - -","6","1","1","2","0","4",".167",".833","0.1","0","1475"
"Adam Kennedy","Angels","468","130","10","48","41","92",".278",".757","3.4","15","19"
"Marquis Grissom","Giants","562","157","22","90","37","83",".279",".773","0.3","3","652"
"Chase Utley","Phillies","267","71","13","57","15","40",".266",".776","1.5","4","1679"
"Adam Melhuse","Athletics","214","55","11","31","16","47",".257",".771","1.0","0","294"
"Juan Gonzalez","Royals","127","35","5","17","9","19",".276",".767","-0.5","0","1251"
"Corey Patterson","Cubs","631","168","24","72","45","168",".266",".771","5.0","32","300"
"Omar Vizquel","Indians","567","165","7","59","57","62",".291",".741","3.2","19","411"
"Joe Randa","Royals","485","139","8","56","40","77",".287",".751","3.3","0","623"
"Mike Restovich","Twins","47","12","2","6","4","10",".255",".761","-0.2","0","751"
"Darin Erstad","Angels","495","146","7","69","37","74",".295",".746","2.1","16","11"
"Rocco Baldelli","Devil Rays","518","145","16","74","30","88",".280",".762","2.2","17","1656"
"Bobby Higginson","Tigers","448","110","12","64","70","84",".246",".742","1.0","5","469"
"Daryle Ward","Pirates","293","73","15","57","22","45",".249",".780","-0.4","0","579"
"Wilson Delgado","Mets","130","38","2","13","15","29",".292",".750","0.6","1","1150"
"Alex Cora","Dodgers","405","107","10","47","47","41",".264",".745","1.9","3","1386"
"Jose Cruz","Devil Rays","545","132","21","78","76","117",".242",".766","2.0","11","1296"
"Clint Barmes","Rockies","71","20","2","10","3","10",".282",".757","0.5","0","1830"
"Matt Diaz","Devil Rays","21","4","1","3","1","6",".190",".768","-0.1","0","1771"
